scientific_name,alias,source,notes
Megatibicen pronotalis,Tibicen marginalis,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Megatibicen resonans,Tibicen resonans,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Melanodryas pulverulenta,Peneoenanthe pulverulenta,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Melanopareia torquata,Melanopareia bitorquata,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Microspizias superciliosus,Hieraspiza superciliosa,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Microtarsus eutilotus,Pycnonotus eutilotus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Microtarsus fuscoflavescens,Pycnonotus fuscoflavescens,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Microtarsus priocephalus,Pycnonotus priocephalus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Microtarsus urostictus,Pycnonotus urostictus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Miogryllus verticalis,Miogryllus saussurei,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mitu tomentosum,Pauxi tomentosa,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Mitu tuberosum,Pauxi tuberosa,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Myiophobus roraimae,Scotomyias roraimae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Myiothlypis bivittata,Myiothlypis roraimae,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Myiothlypis rivularis,Myiothlypis mesoleuca,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Myrmotherula ignota,Myrmotherula obscura,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Nannopsittacus melanogenia,Cyclopsitta melanogenia,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neogale vison,Mustela vison,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neogale vison,Neovison vison,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neoscapteriscus borellii,Scapteriscus borellii,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neotibicen davisi,Tibicen davisi,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neotibicen pruinosus,Tibicen pruinosa,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neotibicen tibicen,Tibicen chloromera,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neoxolmis coronatus,Nengetus coronatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Neoxolmis rufiventris,Nengetus rufiventris,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Nidirana adenopleura,Babina adenopleura,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Nyctipolus hirundinaceus,Nyctidromus hirundinaceus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Nyctipolus nigrescens,Nyctidromus nigrescens,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Nystalus striolatus,Nystalus torridus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Oenanthe lugens,Oenanthe halophila,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Onychorhynchus coronatus,Onychorhynchus occidentalis,raw_data/label_v05_reconciled.csv,Labels_v05 scientific_name synonym; taxonomy_synonym
Onychostruthus taczanowskii,Montifringilla taczanowskii,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Otospermophilus beecheyi,Spermophilus beecheyi,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Otospermophilus variegatus,Spermophilus variegatus,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Otus senegalensis,Otus feae,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Pachyglossa vincens,Dicaeum vincens,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
Paradoxornis heudei,Calamornis heudei,raw_data/label_v05_reconciled.csv,Labels_v05 synonyms synonym; taxonomy_name
